,categoria,subcategoria,marca,nombre,descripcion,precio,numero_valoraciones,valoracion,num_variaciones,fecha_extraccion,url_producto,formato,responsabilidad,efecto_sombra,efecto_labios,efecto_mascara,formulacion,tipo_piel,cobertura,acabado,textura
660,Ojos,Máscara de pestañas,Grande Cosmetics,GrandeDRAMA,Máscara de pestañas espesante intensa con aceite de ricino,24.99,522,4.1,0,2025-05-06,https://www.sephora.es/p/grandedrama---m%c3%a1scara-de-pestanas-espesante-intensa-con-aceite-de-ricino-645303.html,Standard,,,,Voluminizador,,,,,Liquido
661,Uñas,Top coat & base,Manucurist,Green,Top Coat Mate,15.99,16,4.8,0,2025-05-06,https://www.sephora.es/p/green---top-coat-mate-702999.html,,"Vegano, Clean at Sephora",,,,,,,,
662,Ojos,Sombras de ojos,Natasha Denona,Xenon Palette,Paleta de sombras de ojos,73.99,308,4.8,0,2025-05-06,https://www.sephora.es/p/xenon-palette---paleta-de-sombras-de-ojos-690511.html,Set/Estuche/Kit,,"Mate, Metalizado, Irisado/Nacarado, Purpurina",,,Libre de aceite,,,,Polvo compacto
663,Ojos,Paleta de sombras de ojos,Anastasia Beverly Hills,Mini Sultry Palette,Paleta de sombras de ojos,35.0,13,4.8,0,2025-05-06,https://www.sephora.es/p/mini-sultry-palette-%e2%80%93-paleta-de-sombras-de-ojos-695437.html,Set/Estuche/Kit,,"Metalizado, Purpurina, Brillante",,,,,,"Brillante, Purpurina, Metálico",Polvo compacto
664,Ojos,Paleta de sombras de ojos,Anastasia Beverly Hills,Mini Modern Renaissance Palette,Paleta de sombras de ojos,35.0,4,5.0,0,2025-05-06,https://www.sephora.es/p/mini-modern-renaissance-palette-%e2%80%93-paleta-de-sombras-de-ojos-695436.html,Set/Estuche/Kit,,Mate,,,,,,,Polvo compacto
665,Desmaquillante,Desmaquillante rostro,Collistar,Gel Limpiador Purificador Rostro,Limpia y purifica delicadamente la piel,28.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/gel-limpiador-purificador-rostro-693358.html,Standard,,,,,,"Piel mixta, Piel grasa",,,Gel
666,Labios,Lápiz de labios,Estée Lauder,Double Wear 24H Stay-in-Place,Delineador de labios,33.0,2,5.0,7,2025-05-06,https://www.sephora.es/p/double-wear-24h-stay-in-place---delineador-de-labios-P10049037.html,Standard,,,,,,,,Mate,Crema
667,Ojos,Lápiz de ojos & khol,Dior,Diorshow Khôl,Lápiz de ojos de alta intensidad - Resistente al agua,35.0,3,5.0,7,2025-05-06,https://www.sephora.es/p/diorshow-khol-P2934003.html,,,,,,,,,,
668,Rostro,Primer & spray fijador,Clarins,SOS Primer,Base de Maquillaje Matificante,42.0,30,4.8,0,2025-05-06,https://www.sephora.es/p/sos-primer---base-de-maquillaje-matificante-664172.html,Standard,,,"Hidratante, Natural",,,Todo tipo de pieles,Media,Natural,Crema
669,Pinceles & accesorios,Brocha rostro,Rem Beauty,Pinceau F1,Brocha para base de maquillaje,26.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/pinceau-f1---brocha-para-base-de-maquillaje-653766.html,,"Vegano, Clean at Sephora",,,,,Todo tipo de pieles,,,Rígido
670,Labios,Gloss/ Brillo labial,Fenty Beauty,Gloss Bomb Cream,Brillo de labios lacado de color intenso,25.0,172,4.4,5,2025-05-06,https://www.sephora.es/p/gloss-bomb-cream---brillo-de-labios-lacado-de-color-intenso-P10051031.html,Standard,Vegano,,"Larga duración, Voluminizador",,,"Todo tipo de pieles, Piel normal",Media,Brillante,"Crema, Bálsamo"
671,Desmaquillante,Desmaquillante rostro,Collistar,Gel Exfoliante Delicado Rostro,Exfoliante facial,28.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/gel-exfoliante-delicado-rostro-693359.html,Standard,,,,,,Piel sensible,,,Gel
672,Desmaquillante,Leche desmaquillante,Collistar,Leche Limpiadora Antiedad Rostro-Ojos,Limpiador facial,31.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/leche-limpiadora-antiedad-rostro-ojos-693360.html,Standard,,,,,,,,,Leche
673,Desmaquillante,Leche desmaquillante,Collistar,Leche Micelar Desmaquillante Rostro-ojos,Leche micelar,28.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/leche-micelar-desmaquillante-rostro-ojos-693361.html,Standard,,,,,,Piel sensible,,,Leche
674,Rostro,Antiojeras & corrector,Lancôme,Teint Idole Ultra Wear Care & Glow,Sérum Corrector,41.0,22,4.7,15,2025-05-06,https://www.sephora.es/p/teint-idole-ultra-wear-care-glow---serum-corrector-P10052663.html,Standard,,,,,,Todo tipo de pieles,Total,Natural,Liquido
675,Labios,Barra de labios,Lancôme,L'Absolu Rouge Drama Matt,Barra de labios,48.0,62,5.0,4,2025-05-06,https://www.sephora.es/p/labsolu-rouge-drama-matt---barra-de-labios-P10052652.html,Standard,,,,,,,,,Bálsamo
676,Rostro,Base de maquillaje,Lancôme,Teint Idole Ultra Wear,Base de Maquillaje,55.0,8060,4.8,24,2025-05-06,https://www.sephora.es/p/teint-idole-ultra-wear---base-de-maquillaje-24h-fini-mat-naturel-spf35-P10048543.html,Standard,,,,,,Todo tipo de pieles,"Total, Media","Natural, Mate",Liquido
677,Labios,Barra de labios,Clarins,Joli Rouge,Recargable Joli Rouge Refill - Barra de labios con acabado satinado,27.0,5,4.6,15,2025-05-06,https://www.sephora.es/p/joli-rouge---recargable-joli-rouge-refill---barra-de-labios-con-acabado-satinado-P10042097.html,Standard,,,"Hidratante, Larga duración, Satinado",,,Todo tipo de pieles,Total,,Crema
678,Rostro,Antiojeras & corrector,Armani,Corrector Power Fabric +,Corrector de larga duración,46.0,28,3.5,12,2025-05-06,https://www.sephora.es/p/corrector-power-fabric---corrector-de-larga-duracion-P10049287.html,,,,,,,Todo tipo de pieles,Total,"Natural, Mate",Liquido
679,Rostro,Primer & spray fijador,Clarins,Primer SOS White,Prebase de maquillaje,42.0,30,4.8,0,2025-05-06,https://www.sephora.es/p/primer-sos-white---prebase-de-maquillaje-664175.html,Standard,,,Hidratante,,,Todo tipo de pieles,Media,Natural,Crema
680,Rostro,Antiojeras & corrector,Clarins,Instant Concealer,Corrector antiojeras,38.0,25,4.4,2,2025-05-06,https://www.sephora.es/p/instant-concealer-P1518012.html,,,,,,,,,,
